TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
CLASSES - FIF;41.687.144/0001-45;;MAG STRATEGY FIF - CLASSE DE INVESTIMENTO MULT  - RESP  LIMITADA;2025-07-31;Títulos públicos federais;87.39
CLASSES - FIF;41.745.501/0001-84;;BANRISUL ESPELHO VINCI MULTIESTRATÉGIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FI;2025-07-31;COTAS DE FUNDOS DE INVESTIMENTO 409;99.21
CLASSES - FIF;41.767.134/0001-10;;BANRISUL ESPELHO OCCAM RETORNO ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO RESP LIM;2025-07-31;COTAS DE FUNDOS DE INVESTIMENTO 409;97.32
CLASSES - FIF;41.853.494/0001-34;;VIC CLAVE ALPHA MACRO FIF - CIC MULTIMERCADO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;98.77
CLASSES - FIF;41.853.494/0001-34;;VIC CLAVE ALPHA MACRO FIF - CIC MULTIMERCADO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.35
CLASSES - FIF;41.853.494/0001-34;;VIC CLAVE ALPHA MACRO FIF - CIC MULTIMERCADO - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.88
CLASSES - FIF;41.970.027/0001-94;;VERDE AM W60 WARREN FEEDER FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Cotas de Fundos de Investimento 409;96.57
CLASSES - FIF;41.970.027/0001-94;;VERDE AM W60 WARREN FEEDER FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Outras Aplicações;3.56
CLASSES - FIF;42.066.462/0001-51;;BRADESCO VIRTUS US SMALL CAPS USD FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Investimento no exterior;97.48
CLASSES - FIF;42.066.462/0001-51;;BRADESCO VIRTUS US SMALL CAPS USD FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.55
CLASSES - FIF;42.066.462/0001-51;;BRADESCO VIRTUS US SMALL CAPS USD FI FINANCEIRO - CIA - RESP LIMITADA;2025-07-31;Títulos públicos federais;1.50
CLASSES - FIF;42.084.627/0001-18;;FIDUC INTERNACIONAL FI FINANCEIRO - CIC DE AÇÕES - RESP LIMITADA;2025-07-31;Ações;4.81
CLASSES - FIF;42.084.627/0001-18;;FIDUC INTERNACIONAL FI FINANCEIRO - CIC DE AÇÕES - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;77.90
CLASSES - FIF;42.084.627/0001-18;;FIDUC INTERNACIONAL FI FINANCEIRO - CIC DE AÇÕES - RESP LIMITADA;2025-07-31;Derivativos;6.49
CLASSES - FIF;42.084.627/0001-18;;FIDUC INTERNACIONAL FI FINANCEIRO - CIC DE AÇÕES - RESP LIMITADA;2025-07-31;Investimento no exterior;10.49
CLASSES - FIF;42.084.627/0001-18;;FIDUC INTERNACIONAL FI FINANCEIRO - CIC DE AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;5.98
CLASSES - FIF;42.084.832/0001-83;;GÁVEA MACRO RED FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Ações;6.10
CLASSES - FIF;42.084.832/0001-83;;GÁVEA MACRO RED FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Derivativos;10.32
CLASSES - FIF;42.084.832/0001-83;;GÁVEA MACRO RED FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Investimento no exterior;14.46
CLASSES - FIF;42.084.832/0001-83;;GÁVEA MACRO RED FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;24.74
CLASSES - FIF;42.084.832/0001-83;;GÁVEA MACRO RED FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;55.52
